"","Habitat","BaitGrid.x","Neg","Pos","Sum","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y"
"1","Bottomland","B1_Fall 2020",4,9,13,2020,"Rhodamine","Fall","B1",75,3,1.0438976181126,8.23511730221003,"B1_Fall "
"2","Bottomland","B1_Fall 2021",4,4,8,2021,"Pr_IPA","Fall","B1",75,3,1.0438976181126,8.23511730221003,"B1_Fall "
"3","Bottomland","B1_Spring 2017",3,1,4,2017,"Rhodamine","Spring","B1",75,0.5,2.88576063370688,3.13824554838543,"B1_Spring "
"4","Bottomland","B1_Spring 2018",5,0,5,2018,"Rhodamine","Spring","B1",75,0.5,2.88576063370688,3.13824554838543,"B1_Spring "
"5","Bottomland","B1_Spring 2019",2,1,3,2019,"Rhodamine","Spring","B1",75,0.5,2.88576063370688,3.13824554838543,"B1_Spring "
"6","Bottomland","B1_Spring 2021",11,2,13,2021,"Et_IPA","Spring","B1",75,3,2.88576063370688,3.13824554838543,"B1_Spring "
"7","Bottomland","B1_Spring 2022",0,1,1,2022,"Rhodamine","Spring","B1",75,3,2.88576063370688,3.13824554838543,"B1_Spring "
"8","Bottomland","B2_Fall 2020",16,4,20,2020,"Rhodamine","Fall","B2",75,3,15.8235961505978,15.7666741935593,"B2_Fall "
"9","Bottomland","B2_Fall 2021",5,1,6,2021,"Pr_IPA","Fall","B2",75,3,15.8235961505978,15.7666741935593,"B2_Fall "
"10","Bottomland","B2_Spring 2017",5,6,11,2017,"Rhodamine","Spring","B2",75,0.5,10.0410331972816,7.43035144393917,"B2_Spring "
"11","Bottomland","B2_Spring 2018",6,2,8,2018,"Rhodamine","Spring","B2",75,0.5,10.0410331972816,7.43035144393917,"B2_Spring "
"12","Bottomland","B2_Spring 2019",6,3,9,2019,"Rhodamine","Spring","B2",75,0.5,10.0410331972816,7.43035144393917,"B2_Spring "
"13","Bottomland","B2_Spring 2021",12,0,12,2021,"Et_IPA","Spring","B2",75,3,10.0410331972816,7.43035144393917,"B2_Spring "
"14","Bottomland","B2_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B2",75,3,10.0410331972816,7.43035144393917,"B2_Spring "
"15","Bottomland","B3_Fall 2020",3,5,8,2020,"Rhodamine","Fall","B3",75,3,8.54975404730508,7.37148378692449,"B3_Fall "
"16","Bottomland","B3_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","B3",75,3,8.54975404730508,7.37148378692449,"B3_Fall "
"17","Bottomland","B3_Spring 2017",1,3,4,2017,"Rhodamine","Spring","B3",75,0.5,4.40177448862594,5.15988096761197,"B3_Spring "
"18","Bottomland","B3_Spring 2018",4,2,6,2018,"Rhodamine","Spring","B3",75,0.5,4.40177448862594,5.15988096761197,"B3_Spring "
"19","Bottomland","B3_Spring 2019",5,0,5,2019,"Rhodamine","Spring","B3",75,0.5,4.40177448862594,5.15988096761197,"B3_Spring "
"20","Bottomland","B3_Spring 2021",2,0,2,2021,"Et_IPA","Spring","B3",75,3,4.40177448862594,5.15988096761197,"B3_Spring "
"21","Bottomland","B3_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B3",75,3,4.40177448862594,5.15988096761197,"B3_Spring "
"22","Bottomland","B4_Fall 2020",3,2,5,2020,"Rhodamine","Fall","B4",150,3,14.709832625957,1.97811996251882,"B4_Fall "
"23","Bottomland","B4_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","B4",150,3,14.709832625957,1.97811996251882,"B4_Fall "
"24","Bottomland","B4_Spring 2017",0,1,1,2017,"Rhodamine","Spring","B4",75,0.5,8.63410387094107,3.94785856987336,"B4_Spring "
"25","Bottomland","B4_Spring 2018",13,3,16,2018,"Rhodamine","Spring","B4",75,0.5,8.63410387094107,3.94785856987336,"B4_Spring "
"26","Bottomland","B4_Spring 2019",2,0,2,2019,"Rhodamine","Spring","B4",75,0.5,8.63410387094107,3.94785856987336,"B4_Spring "
"27","Bottomland","B4_Spring 2021",3,0,3,2021,"Et_IPA","Spring","B4",150,3,8.63410387094107,3.94785856987336,"B4_Spring "
"28","Bottomland","B4_Spring 2022",1,1,2,2022,"Rhodamine","Spring","B4",150,3,8.63410387094107,3.94785856987336,"B4_Spring "
"29","Bottomland","B5_Fall 2020",5,1,6,2020,"Rhodamine","Fall","B5",150,3,10.8920007765564,2.96701558184128,"B5_Fall "
"30","Bottomland","B5_Fall 2021",5,0,5,2021,"Pr_IPA","Fall","B5",150,3,10.8920007765564,2.96701558184128,"B5_Fall "
"31","Bottomland","B5_Spring 2017",3,0,3,2017,"Rhodamine","Spring","B5",75,0.5,6.08879540179727,2.73376157081054,"B5_Spring "
"32","Bottomland","B5_Spring 2018",5,1,6,2018,"Rhodamine","Spring","B5",75,0.5,6.08879540179727,2.73376157081054,"B5_Spring "
"33","Bottomland","B5_Spring 2019",4,0,4,2019,"Rhodamine","Spring","B5",75,0.5,6.08879540179727,2.73376157081054,"B5_Spring "
"34","Bottomland","B5_Spring 2021",7,1,8,2021,"Et_IPA","Spring","B5",150,3,6.08879540179727,2.73376157081054,"B5_Spring "
"35","Bottomland","B5_Spring 2022",0,1,1,2022,"Rhodamine","Spring","B5",150,3,6.08879540179727,2.73376157081054,"B5_Spring "
"36","Bottomland","B6_Fall 2020",7,2,9,2020,"Rhodamine","Fall","B6",150,3,3.73285671433682,5.95746496011673,"B6_Fall "
"37","Bottomland","B6_Fall 2021",2,6,8,2021,"Pr_IPA","Fall","B6",150,3,3.73285671433682,5.95746496011673,"B6_Fall "
"38","Bottomland","B6_Spring 2017",1,0,1,2017,"Rhodamine","Spring","B6",75,0.5,4.78690779831525,4.29946894666127,"B6_Spring "
"39","Bottomland","B6_Spring 2018",4,1,5,2018,"Rhodamine","Spring","B6",75,0.5,4.78690779831525,4.29946894666127,"B6_Spring "
"40","Bottomland","B6_Spring 2021",7,6,13,2021,"Et_IPA","Spring","B6",150,3,4.78690779831525,4.29946894666127,"B6_Spring "
"41","Bottomland","B6_Spring 2022",3,1,4,2022,"Rhodamine","Spring","B6",150,3,4.78690779831525,4.29946894666127,"B6_Spring "
"42","Pine","P1_Spring 2017",3,2,5,2017,"Rhodamine","Spring","P1",75,0.5,1.69749818139127,1.78628344289605,"P1_Spring "
"43","Pine","P1_Spring 2018",5,3,8,2018,"Rhodamine","Spring","P1",75,0.5,1.69749818139127,1.78628344289605,"P1_Spring "
"44","Pine","P1_Spring 2019",1,0,1,2019,"Rhodamine","Spring","P1",75,0.5,1.69749818139127,1.78628344289605,"P1_Spring "
"45","Pine","P2_Fall 2020",4,1,5,2020,"Rhodamine","Fall","P2",75,3,1.30381951109333,1.53769834799885,"P2_Fall "
"46","Pine","P2_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","P2",75,3,1.30381951109333,1.53769834799885,"P2_Fall "
"47","Pine","P2_Spring 2017",2,3,5,2017,"Rhodamine","Spring","P2",75,0.5,0.548549911286878,3.01643918156109,"P2_Spring "
"48","Pine","P2_Spring 2018",3,1,4,2018,"Rhodamine","Spring","P2",75,0.5,0.548549911286878,3.01643918156109,"P2_Spring "
"49","Pine","P2_Spring 2019",3,1,4,2019,"Rhodamine","Spring","P2",75,0.5,0.548549911286878,3.01643918156109,"P2_Spring "
"50","Pine","P2_Spring 2021",1,2,3,2021,"Et_IPA","Spring","P2",75,3,0.548549911286878,3.01643918156109,"P2_Spring "
"51","Pine","P2_Spring 2022",1,0,1,2022,"Rhodamine","Spring","P2",75,3,0.548549911286878,3.01643918156109,"P2_Spring "
"52","Pine","P3_Fall 2020",3,1,4,2020,"Rhodamine","Fall","P3",75,3,0,0,"P3_Fall "
"53","Pine","P3_Spring 2017",0,3,3,2017,"Rhodamine","Spring","P3",75,0.5,0.775611115421643,1.68822170723005,"P3_Spring "
"54","Pine","P3_Spring 2018",2,0,2,2018,"Rhodamine","Spring","P3",75,0.5,0.775611115421643,1.68822170723005,"P3_Spring "
"55","Pine","P3_Spring 2019",2,1,3,2019,"Rhodamine","Spring","P3",75,0.5,0.775611115421643,1.68822170723005,"P3_Spring "
"56","Pine","P3_Spring 2021",3,1,4,2021,"Et_IPA","Spring","P3",75,3,0.775611115421643,1.68822170723005,"P3_Spring "
