"","X","Habitat","BaitGrid.x","Neg","Pos","Sum","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y"
"1",1,"Bottomland","B1_Fall 2020",4,9,13,2020,"Rhodamine","Fall","B1","75","3",-0.764800854376803,2.03835208911397,"B1_Fall "
"2",2,"Bottomland","B1_Fall 2021",4,4,8,2021,"Pr_IPA","Fall","B1","75","3",-0.764800854376803,2.03835208911397,"B1_Fall "
"6",6,"Bottomland","B1_Spring 2021",11,2,13,2021,"Et_IPA","Spring","B1","75","3",-0.23544080229974,-0.07435618680525,"B1_Spring "
"7",7,"Bottomland","B1_Spring 2022",0,1,1,2022,"Rhodamine","Spring","B1","75","3",-0.23544080229974,-0.07435618680525,"B1_Spring "
"8",8,"Bottomland","B2_Fall 2020",16,4,20,2020,"Rhodamine","Fall","B2","75","3",3.48295368469532,5.16026359551393,"B2_Fall "
"9",9,"Bottomland","B2_Fall 2021",5,1,6,2021,"Pr_IPA","Fall","B2","75","3",3.48295368469532,5.16026359551393,"B2_Fall "
"13",13,"Bottomland","B2_Spring 2021",12,0,12,2021,"Et_IPA","Spring","B2","75","3",1.82101802488258,1.70476796711399,"B2_Spring "
"14",14,"Bottomland","B2_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B2","75","3",1.82101802488258,1.70476796711399,"B2_Spring "
"15",15,"Bottomland","B3_Fall 2020",3,5,8,2020,"Rhodamine","Fall","B3","75","3",1.39241741679756,1.68036668880724,"B3_Fall "
"16",16,"Bottomland","B3_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","B3","75","3",1.39241741679756,1.68036668880724,"B3_Fall "
"20",20,"Bottomland","B3_Spring 2021",2,0,2,2021,"Et_IPA","Spring","B3","75","3",0.200268675764008,0.763633483601181,"B3_Spring "
"21",21,"Bottomland","B3_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B3","75","3",0.200268675764008,0.763633483601181,"B3_Spring "
"22",22,"Bottomland","B4_Fall 2020",3,2,5,2020,"Rhodamine","Fall","B4","150","3",3.16285283440751,-0.555240745952108,"B4_Fall "
"23",23,"Bottomland","B4_Fall 2021",1,0,1,2021,"Pr_IPA","Fall","B4","150","3",3.16285283440751,-0.555240745952108,"B4_Fall "
"27",27,"Bottomland","B4_Spring 2021",3,0,3,2021,"Et_IPA","Spring","B4","150","3",1.41665995093533,0.261237136590812,"B4_Spring "
"28",28,"Bottomland","B4_Spring 2022",1,1,2,2022,"Rhodamine","Spring","B4","150","3",1.41665995093533,0.261237136590812,"B4_Spring "
"29",29,"Bottomland","B5_Fall 2020",5,1,6,2020,"Rhodamine","Fall","B5","150","3",2.06559009037652,-0.145332853450185,"B5_Fall "
"30",30,"Bottomland","B5_Fall 2021",5,0,5,2021,"Pr_IPA","Fall","B5","150","3",2.06559009037652,-0.145332853450185,"B5_Fall "
