"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"1",1,33,"33_44499","P5","Pine","P5-1","10/30/2021","Fall 2020","P5_Fall 2020","P5-1",4.4,"Raccoon","Initial","F","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",3
"2",2,66,"66_44277","W3","Wetland","W3-2","3/22/2021","Fall 2020","W3_Fall 2020","W3-2",3.5,"Raccoon","Recapture","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W3","75","3",-0.89968243313149,-1.27897487586542,"W3_Fall ",2
"3",3,416,"416_44532","R4","Riparian","R4-1","12/2/2021","Fall 2020","R4_Fall 2020","R4-1",4.4,"Raccoon","Initial","F","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R4","75","3",-0.439021020525689,0.133787926256266,"R4_Fall ",1
"4",4,482,"482_44513","B2","Bottomland","B2-1","11/13/2021","Fall 2020","B2_Fall 2020","B2-1",3.4,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",7
"5",5,507,"507_44274","B6","Bottomland","B6-2","3/19/2021","Fall 2020","B6_Fall 2020","B6-2",2.2,"Raccoon","Recapture","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B6","150","3",-0.27508742137721,0.490479704003514,"B6_Fall ",2
"6",6,544,"544_44133","W2","Wetland","W2-1","10/29/2020","Fall 2020","W2_Fall 2020","W2-1",1.5,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W2","75","3",-1.12185877133962,0.760819637657431,"W2_Fall ",3
"7",7,557,"557_44234","P6","Pine","P6-2","2/7/2021","Fall 2020","P6_Fall 2020","P6-2",4.1,"Raccoon","Recapture","M","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",11
"8",8,560,"560_44239","P5","Pine","P5-2","2/12/2021","Fall 2020","P5_Fall 2020","P5-2",4.2,"Raccoon","Recapture","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",6
"9",9,569,"569_44258","W6","Wetland","W6-2","3/3/2021","Fall 2020","W6_Fall 2020","W6-2",3.2,"Raccoon","Recapture","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W6","150","3",-0.91337181104455,-0.483961875786898,"W6_Fall ",3
"10",10,587,"587_44276","W1","Wetland","W1-2","3/21/2021","Fall 2020","W1_Fall 2020","W1-2",6.3,"Raccoon","Recapture","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W1","75","3",-0.828094207312918,-0.215772178642388,"W1_Fall ",3
"11",11,614,"614_44495","B6","Bottomland","B6-1","10/26/2021","Fall 2020","B6_Fall 2020","B6-1",1.3,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","B6","150","3",-0.27508742137721,0.490479704003514,"B6_Fall ",5
"12",12,673,"673_44235","B2","Bottomland","B2-2","2/8/2021","Fall 2020","B2_Fall 2020","B2-2",6.1,"Raccoon","Recapture","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B2","75","3",2.4676087327947,3.40395889678209,"B2_Fall ",2
"13",13,725,"725_44275","B6","Bottomland","B6-2","3/20/2021","Fall 2020","B6_Fall 2020","B6-2",4.5,"Raccoon","Initial","M","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B6","150","3",-0.27508742137721,0.490479704003514,"B6_Fall ",3
"15",15,733,"733_44269","B6","Bottomland","B6-2","3/14/2021","Fall 2020","B6_Fall 2020","B6-2",1.5,"Raccoon","Recapture","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","B6","150","3",-0.27508742137721,0.490479704003514,"B6_Fall ",7
"16",16,736,"736_44272","R3","Riparian","R3-2","3/17/2021","Fall 2020","R3_Fall 2020","R3-2",5.3,"Raccoon","Recapture","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","R3","150","3",-0.995188315406846,-0.372370925297292,"R3_Fall ",3
"17",17,758,"758_44236","P6","Pine","P6-2","2/9/2021","Fall 2020","P6_Fall 2020","P6-2",6.4,"Raccoon","Recapture","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",2
"20",20,769,"769_44171","R2","Riparian","R2-1","12/6/2020","Fall 2020","R2_Fall 2020","R2-1",3.4,"Raccoon","Initial","F","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","R2","150","3",-0.412491074737824,1.13148687797682,"R2_Fall ",2
"27",27,793,"793_44131","P5","Pine","P5-1","10/27/2020","Fall 2020","P5_Fall 2020","P5-1",3.3,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P5","150","3",-0.313104329910949,-0.178656965441451,"P5_Fall ",1
"32",32,798,"798_44136","W2","Wetland","W2-1","11/1/2020","Fall 2020","W2_Fall 2020","W3-1",5.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W2","75","3",-1.12185877133962,0.760819637657431,"W2_Fall ",1
"34",34,800,"800_44137","P6","Pine","P6-1","11/2/2020","Fall 2020","P6_Fall 2020","P6-1",6.4,"Raccoon","Initial","F","Adult",NA,"","",1,"1",1,2020,"Rhodamine","Fall","P6","150","3",-0.876525098472441,0.0185100079475169,"P6_Fall ",1
"36",36,803,"803_44131","W2","Wetland","W2-1","10/27/2020","Fall 2020","W2_Fall 2020","W2-1",5.3,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W2","75","3",-1.12185877133962,0.760819637657431,"W2_Fall ",1
"37",37,805,"805_44131","W5","Wetland","W5-1","10/27/2020","Fall 2020","W5_Fall 2020","W5-1",5.1,"Raccoon","Initial","M","Adult",NA,"","",0,"0",0,2020,"Rhodamine","Fall","W5","150","3",-1.01273507888213,-0.706837990312097,"W5_Fall ",1
"40",40,810,"810_44137","W5","Wetland","W5-1","11/2/2020","Fall 2020","W5_Fall 2020","W5-1",4.5,"Raccoon","Initial","F","Juvenile",NA,"","",1,"1",1,2020,"Rhodamine","Fall","W5","150","3",-1.01273507888213,-0.706837990312097,"W5_Fall ",1
"43",43,813,"813_44150","P4","Pine","P4-1","11/15/2020","Fall 2020","P4_Fall 2020","P4-1",3.4,"Raccoon","Initial","M","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P4","150","3",-1.12185877133962,-0.820306856689238,"P4_Fall ",1
"44",44,814,"814_44152","P4","Pine","P4-1","11/17/2020","Fall 2020","P4_Fall 2020","P4-1",5.1,"Raccoon","Initial","F","Juvenile",NA,"","",0,"0",0,2020,"Rhodamine","Fall","P4","150","3",-1.12185877133962,-0.820306856689238,"P4_Fall ",1
