"","X","Habitat","BaitGrid.x","Neg","Pos","Sum","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","PropPos"
"3",3,"Bottomland","B1_Spring 2017",3,1,4,2017,"Rhodamine","Spring","B1","75","0.5",-0.23544080229974,-0.07435618680525,"B1_Spring ",0.25
"4",4,"Bottomland","B1_Spring 2018",5,0,5,2018,"Rhodamine","Spring","B1","75","0.5",-0.23544080229974,-0.07435618680525,"B1_Spring ",0
"5",5,"Bottomland","B1_Spring 2019",2,1,3,2019,"Rhodamine","Spring","B1","75","0.5",-0.23544080229974,-0.07435618680525,"B1_Spring ",0.333333333333333
"6",6,"Bottomland","B1_Spring 2021",11,2,13,2021,"Et_IPA","Spring","B1","75","3",-0.23544080229974,-0.07435618680525,"B1_Spring ",0.153846153846154
"7",7,"Bottomland","B1_Spring 2022",0,1,1,2022,"Rhodamine","Spring","B1","75","3",-0.23544080229974,-0.07435618680525,"B1_Spring ",1
"10",10,"Bottomland","B2_Spring 2017",5,6,11,2017,"Rhodamine","Spring","B2","75","0.5",1.82101802488258,1.70476796711399,"B2_Spring ",0.545454545454545
"11",11,"Bottomland","B2_Spring 2018",6,2,8,2018,"Rhodamine","Spring","B2","75","0.5",1.82101802488258,1.70476796711399,"B2_Spring ",0.25
"12",12,"Bottomland","B2_Spring 2019",6,3,9,2019,"Rhodamine","Spring","B2","75","0.5",1.82101802488258,1.70476796711399,"B2_Spring ",0.333333333333333
"13",13,"Bottomland","B2_Spring 2021",12,0,12,2021,"Et_IPA","Spring","B2","75","3",1.82101802488258,1.70476796711399,"B2_Spring ",0
"14",14,"Bottomland","B2_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B2","75","3",1.82101802488258,1.70476796711399,"B2_Spring ",0
"17",17,"Bottomland","B3_Spring 2017",1,3,4,2017,"Rhodamine","Spring","B3","75","0.5",0.200268675764008,0.763633483601181,"B3_Spring ",0.75
"18",18,"Bottomland","B3_Spring 2018",4,2,6,2018,"Rhodamine","Spring","B3","75","0.5",0.200268675764008,0.763633483601181,"B3_Spring ",0.333333333333333
"19",19,"Bottomland","B3_Spring 2019",5,0,5,2019,"Rhodamine","Spring","B3","75","0.5",0.200268675764008,0.763633483601181,"B3_Spring ",0
"20",20,"Bottomland","B3_Spring 2021",2,0,2,2021,"Et_IPA","Spring","B3","75","3",0.200268675764008,0.763633483601181,"B3_Spring ",0
"21",21,"Bottomland","B3_Spring 2022",1,0,1,2022,"Rhodamine","Spring","B3","75","3",0.200268675764008,0.763633483601181,"B3_Spring ",0
"24",24,"Bottomland","B4_Spring 2017",0,1,1,2017,"Rhodamine","Spring","B4","75","0.5",1.41665995093533,0.261237136590812,"B4_Spring ",1
"25",25,"Bottomland","B4_Spring 2018",13,3,16,2018,"Rhodamine","Spring","B4","75","0.5",1.41665995093533,0.261237136590812,"B4_Spring ",0.1875
"26",26,"Bottomland","B4_Spring 2019",2,0,2,2019,"Rhodamine","Spring","B4","75","0.5",1.41665995093533,0.261237136590812,"B4_Spring ",0
"31",31,"Bottomland","B5_Spring 2017",3,0,3,2017,"Rhodamine","Spring","B5","75","0.5",0.685126382819562,-0.242019155028445,"B5_Spring ",0
"32",32,"Bottomland","B5_Spring 2018",5,1,6,2018,"Rhodamine","Spring","B5","75","0.5",0.685126382819562,-0.242019155028445,"B5_Spring ",0.166666666666667
