"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"390",390,102,"102_42805","P1","Pine","P1-2","3/11/2017","Spring 2017","P1_Spring 2017","P1-2",5.4,"Raccoon","Recapture","F","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P1","75","0.5",-0.736793675994594,-0.748422461350749,"P1_Spring ",5
"393",393,123,"123_42799","P2","Pine","P2-2","3/5/2017","Spring 2017","P2_Spring 2017","P2-2",5.3,"Raccoon","Recapture","F","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P2","75","0.5",-0.997424220418293,-0.38304814185324,"P2_Spring ",3
"395",395,126,"126_42813","W2","Wetland","W2-2","3/19/2017","Spring 2017","W2_Spring 2017","W2-2",4.1,"Raccoon","Recapture","M","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",2
"398",398,137,"137_42817","R1","Riparian","R1-2","3/23/2017","Spring 2017","R1_Spring 2017","R1-2",5.2,"Raccoon","Recapture","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","R1","75","0.5",0.0855806080558497,-0.647584111265793,"R1_Spring ",2
"399",399,139,"139_42815","B3","Bottomland","B3-2","3/21/2017","Spring 2017","B3_Spring 2017","B3-2",2.1,"Raccoon","Recapture","F","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B3","75","0.5",-0.123348297672518,0.253585545529095,"B3_Spring ",7
"400",400,146,"146_42831","W6","Wetland","W6-2","4/6/2017","Spring 2017","W6_Spring 2017","W6-2",2.2,"Raccoon","Recapture","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",4
"401",401,149,"149_42833","W6","Wetland","W6-2","4/8/2017","Spring 2017","W6_Spring 2017","W6-2",4.4,"Raccoon","Recapture","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",3
"403",403,153,"153_42798","B5","Bottomland","B5-2","3/4/2017","Spring 2017","B5_Spring 2017","B5-2",2.5,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B5","75","0.5",0.259340105708829,-0.467007543430512,"B5_Spring ",2
"404",404,154,"154_42799","P1","Pine","P1-2","3/5/2017","Spring 2017","P1_Spring 2017","P1-2",1.4,"Raccoon","Initial","F","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P1","75","0.5",-0.736793675994594,-0.748422461350749,"P1_Spring ",1
"405",405,155,"155_42799","B4","Bottomland","B4-2","3/5/2017","Spring 2017","B4_Spring 2017","B4-2",5.1,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B4","75","0.5",0.836724788118357,-0.10640290542107,"B4_Spring ",1
"406",406,156,"156_42800","P2","Pine","P2-2","3/6/2017","Spring 2017","P2_Spring 2017","P2-2",4.3,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P2","75","0.5",-0.997424220418293,-0.38304814185324,"P2_Spring ",1
"407",407,157,"157_42800","W1","Wetland","W1-2","3/6/2017","Spring 2017","W1_Spring 2017","W1-2",2.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W1","75","0.5",-0.447714837891408,-0.547806915027724,"W1_Spring ",1
